"Guid","AccountNumber","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Site","Test_Field__c","Type","Website","new_acc_field_pick__c","pick1__c","pickmulti__c","test1__c","test__c"
014639ff-8caf-44af-86e5-1db542bc9165,"#N/A","#N/A",1.17386E11,Fairfield,United States,"#N/A","#N/A","#N/A",06828-0001,CT,3135 Easton Tpke,"Signal Processing, LLC is the leader in Technology in Fairfield","#N/A",Technology,"#N/A",Vitz,"#N/A","#N/A",1.203.373.2211,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0256788a-f0ca-4172-b29d-6e29d4b14857,"#N/A","#N/A",1.46801E11,Dallas,United States,"#N/A","#N/A","#N/A",75202-4295,TX,208 S Akard St,"Regal Machine, Inc. is the leader in Automotive in Dallas","#N/A",Automotive,"#N/A",Eadel,"#N/A","#N/A",1.210.821.4105,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
036f5d97-473b-4003-876b-f96804701498,"#N/A","#N/A",2.9111322E7,Savannah,United States,"#N/A","#N/A","#N/A",31410,GA,50137 Brickson Park Alley,"#N/A","#N/A",Consulting,"#N/A",Pixope,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0398fd28-1bd9-4d80-9a60-7bf24803b235,"#N/A","#N/A",1.03444E11,Deerfield,United States,"#N/A","#N/A","#N/A",60015-5145,IL,108 Wilmot Rd,"Civic Wealth, Inc. is the leader in Financial Services in Deerfield","#N/A",Financial Services,"#N/A",Mydo,"#N/A","#N/A",1.847.315.2500,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",200 George Street,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
04bf25f3-d71e-4a20-81af-86c1cc11da7c,"#N/A","#N/A",4.528576E8,Paris,France,"#N/A","#N/A","#N/A","#N/A","#N/A",75010,Trevor Ferrin Hospital is the leader in Healthcare,"#N/A",Healthcare,"#N/A",Yakidoo,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
08a3581b-35ca-4088-9411-63ffcba5dc44,"#N/A","#N/A",1.0E8,New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A",(212) 555-5555,Manufacturing,"#N/A",Acme,680,"#N/A",(212) 555-5555,false,false,"#N/A","#N/A","#N/A",false,true,"#N/A",Contract Based,"#N/A","#N/A",New York,USA,"#N/A","#N/A","#N/A",31349,NY,10 Main Rd.,"#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0991754c-0303-40b2-b8af-4b660ab748b2,"#N/A","#N/A",9.43474187E8,Woollahra,Australia,"#N/A","#N/A","#N/A",2025,NSW,6 Rush St,Rouster and Sideways is the leader in Insurance in Woollahra,"#N/A",Insurance,"#N/A",Browsecat,"#N/A","#N/A",(02) 8325 6428,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Woollahra,Australia,"#N/A","#N/A","#N/A",2025,NSW,6 Rush St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0b1732a3-f67b-441a-923d-dc0c802ce7f7,"#N/A","#N/A",6.30331409E8,Berlin,Germany,"#N/A","#N/A","#N/A","#N/A",Berlin,Friedrich-Ebert-Allee 140,Tara Shea Micko Hospital is the leader in Healthcare in Berlin,"#N/A",Healthcare,"#N/A",Yozio,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0b4472dd-cd27-49cb-9f9b-9232030c8180,"#N/A","#N/A",3.45972597E8,Wahroonga,Australia,"#N/A","#N/A","#N/A",2076,NSW,3 Myra St,Nordyne Defense Dynamics is the leader in Technology in Wahroonga,"#N/A",Technology,"#N/A",Thoughtstorm,"#N/A","#N/A",(02) 7820 8765,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Wahroonga,Australia,"#N/A","#N/A","#N/A",2076,NSW,3 Myra St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0bd2e3f8-3ad1-4df2-9352-55b470d35679,"#N/A","#N/A",7.76395463E8,Tokyo,Japan,"#N/A","#N/A","#N/A","#N/A","#N/A",1-7-1 Konan Minato-ku,Wernham Hogg is the leader in Telecommunications,"#N/A",Telecommunications,"#N/A",Browsedrive,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",4 Riverside Rd,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0d95e68a-9453-406f-89cb-490d1d05c35b,"#N/A","#N/A",5.6098E10,Farmington,United States,"#N/A","#N/A","#N/A",06032-2577,CT,10 Farm Springs Rd,Tungsten Security Services is the leader in Transportation in Farmington,"#N/A",Transportation,"#N/A",Centimia,"#N/A","#N/A",1.860.728.7000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0dd04b66-68e5-42ae-817c-f0e9d1eb1035,"#N/A","#N/A",1.07006E11,Seattle,United States,"#N/A","#N/A","#N/A",98109-5210,WA,410 Terry Ave N,Heimdall College of Optometry is the leader in Higher Education in Seattle,"#N/A",Higher Education,"#N/A",Bluezoom,"#N/A","#N/A",1.206.266.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Seattle,US,"#N/A","#N/A","#N/A",98108-1300,WA,P.O. BOX 81226,"#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0f8a10e2-6452-4183-a84d-14a91745e239,"#N/A","#N/A",2.87538616E8,Victoria Park,Australia,"#N/A","#N/A","#N/A",6100,WA,27 Temple St,LexCorp is the leader in Banking in Victoria Park,"#N/A",Banking,"#N/A",Trilith,"#N/A","#N/A",(08) 7764 6096,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Victoria Park,Australia,"#N/A","#N/A","#N/A",6100,WA,27 Temple St,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
112d8314-e18e-41ba-829f-a77e3dbbe70c,"#N/A","#N/A",3.46761E10,New York,United States,"#N/A","#N/A","#N/A",10017-4108,NY,708 3rd Ave Rm 1500,First Response Relief Services is the leader in Non Profit in New York,"#N/A",Non Profit,"#N/A",Browsetype,"#N/A","#N/A",1.212.485.3500,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",708 3rd Ave Rm 1500,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
13a49e92-6430-43d4-9c00-53a889d663cc,"#N/A","#N/A",5.0E7,Vancouver,Canada,"#N/A","#N/A","#N/A","#N/A",BC,BC V6T 1A7,Spade and Archer is the leader in Services in BC,"#N/A",Services,"#N/A",Twitterwire,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
146a584a-1da2-436c-955f-b268acc83adf,"#N/A","#N/A",1.46231103E8,Welwyn Garden City,United Kingdom,"#N/A","#N/A","#N/A",AL7 1GA,"#N/A","Tesco House, Shire Park, Kestrel Way",Western Gas & Electric is the leader in Biotechnology,"#N/A",Biotechnology,"#N/A",Meeveo,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","Tesco House, Shire Park, Kestrel Way","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1519e96b-99b1-4097-ae37-ec74c9108886,"#N/A","#N/A",1.0983E11,Cincinnati,United States,"#N/A","#N/A","#N/A",45202-1100,OH,1014 Vine St Ste 1000,Hagan University is the leader in Higher Education in Cincinnati,"#N/A",Higher Education,"#N/A",Fiveclub,"#N/A","#N/A",1.513.762.4000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
15e03007-a52b-486d-bba5-e687da5743e2,"#N/A","#N/A",7.20606185E8,Cranbourne East,Australia,"#N/A","#N/A","#N/A",3977,VIC,7 Dartmoor Dr,Milliways is the leader in Engineering in Cranbourne East,"#N/A",Engineering,"#N/A",Tavu,"#N/A","#N/A",(03) 6820 8401,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Cranbourne East,Australia,"#N/A","#N/A","#N/A",3977,VIC,7 Dartmoor Dr,"#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
15fe1692-b6b4-495a-9fe7-f159e612693c,"#N/A","#N/A",3.8581E10,Morris Plains,United States,"#N/A","#N/A","#N/A",07950-2546,NJ,115 Tabor Rd,Jupiter Consulting is the leader in Energy in Morris Plains,"#N/A",Energy,"#N/A",Uidoo,"#N/A","#N/A",1.973.455.2000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
17845881-96a4-4e4c-8c1a-80c44452cb10,"#N/A","#N/A",2.5146E10,Hoffman Estates,United States,"#N/A","#N/A","#N/A",60179-0001,IL,3333 Beverly Rd,SocialScaling is the leader in Communications in Hoffman Estates,"#N/A",Communications,"#N/A",Jabbersphere,"#N/A","#N/A",1.847.286.2500,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1852b9a6-11d0-4a30-9cfc-0b5a9a872b78,"#N/A","#N/A",4.8778E10,Midland,United States,"#N/A","#N/A","#N/A",48674-1500,MI,2030 Dow Ctr,Computico Labs is the leader in Technology in Midland,"#N/A",Technology,"#N/A",Kamba,"#N/A","#N/A",1.989.636.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
194db487-dbcb-490c-9aa3-ad8d79e8d218,"#N/A","#N/A",1.4139579037E10,New York,United States,"#N/A","#N/A","#N/A",10010-1655,NY,51 Madison Ave Bsmt 1b,Athena Theraputics is the leader in Healthcare in New York,"#N/A",Healthcare,"#N/A",Skimia,"#N/A","#N/A",1.212.576.7000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1adb30f1-f22c-4a7b-9aee-9da3963a0f9c,"#N/A","#N/A",6574015.0,Danbury,United States,"#N/A","#N/A","#N/A",6816,CT,5898 Superior Street,"#N/A","#N/A",Insurance,"#N/A",Thoughtblab,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1b352896-047b-4f2c-a958-ceb953c233be,"#N/A","#N/A",4.8213E11,Bentonville,United States,"#N/A","#N/A","#N/A",72716-6299,AR,702 SW 8th St,Upward Financial Services is the leader in Financial Services in Bentonville,"#N/A",Financial Services,"#N/A",Photofeed,"#N/A","#N/A",1.479.273.4000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1ee61490-fbd9-462a-beef-156d4aa1f31f,"#N/A","#N/A",4.0704E10,Atlanta,United States,"#N/A","#N/A","#N/A",30354-1989,GA,1030 Delta Blvd,Taggart Transcontinental is the leader in Shipping in Atlanta,"#N/A",Shipping,"#N/A",Layo,"#N/A","#N/A",1.404.715.2600,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Atlanta,US,"#N/A","#N/A","#N/A",30320-6001,GA,P.O. BOX 20706,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1f9367e0-d436-4ac6-b306-a154849af663,"#N/A","#N/A",6.30331409E8,Tokyo,Japan,"#N/A","#N/A","#N/A","#N/A","#N/A",1 Toyota-Cho,Widget Corp is the leader in Technology,"#N/A",Technology,"#N/A",Tagopia,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",4 Riverside Rd,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
234f1e80-1419-42a4-a1f3-ce66ac51ae32,"#N/A","#N/A",6.03365E10,Hartford,United States,"#N/A","#N/A","#N/A",06156-0001,CT,151 Farmington Ave,Initrode is the leader in Energy in Hartford,"#N/A",Energy,"#N/A",Roomm,"#N/A","#N/A",1.860.273.0123,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
