"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type"
001fa518-1d86-4cd2-981c-a3fad42a45c2,"#N/A",32395.00000002,2024-04-15,"#N/A","#N/A",Closed,"#N/A",Edgetag - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
00465bd3-a273-45dc-bed7-7d5bb58df263,e194e73c-3ba6-4659-b1a1-ec3f3d6447d5,72395.0,2023-10-03,"#N/A","#N/A",Omitted,"#N/A",Kanoodle - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A",false,Closed Lost,"#N/A"
0048af23-d99d-4033-9f59-d93a35816a5e,"#N/A",32395.00000002,2024-02-16,"#N/A","#N/A",Closed,"#N/A",Agimba - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
00549667-62f6-4924-b067-45ae677ad202,"#N/A",72395.0,2022-06-17,"#N/A","#N/A",Closed,"#N/A",Chatterpoint - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
0093038a-d644-404b-8a23-0f010f405340,e1d39001-c48a-4c58-a267-74467f7ab984,32395.00000002,2024-04-15,"#N/A","#N/A",Closed,"#N/A",Chatterpoint - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
00b153c3-ef61-4c5b-8f91-ca17b432c01b,"#N/A",57490.0,2024-01-28,"#N/A","#N/A",Pipeline,"#N/A",Shufflester - Additional Sale,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
00b38b4e-0579-45cb-98ad-e3499be34b45,"#N/A",72395.0,2023-10-03,"#N/A","#N/A",Omitted,"#N/A",Chatterpoint - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A",false,Closed Lost,"#N/A"
00c5722c-d1bc-4f63-b918-7c40ea813d32,"#N/A",34995.0,2024-02-19,"#N/A","#N/A",Pipeline,"#N/A",Dazzlesphere - Additional Sale,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
00cdbb21-b51f-4f95-ac5e-9372f7fe39e0,"#N/A",75000.0,2024-06-21,"#N/A","#N/A",Pipeline,"#N/A",Quire - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Qualification,"#N/A"
00e25aea-ab55-43d7-ab8a-6434f119d141,"#N/A",72395.0,2023-08-04,"#N/A","#N/A",Omitted,"#N/A",Podcat - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A",false,Closed Lost,"#N/A"
01092682-b1b8-4765-9411-077b904db08a,"#N/A",100082.0,2024-06-21,"#N/A","#N/A",Pipeline,"#N/A",Twinder - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Qualification,"#N/A"
010939c7-c3eb-44f9-89e0-72a5cdb2910d,1852b9a6-11d0-4a30-9cfc-0b5a9a872b78,34995.0,2024-02-26,"#N/A","#N/A",Pipeline,"#N/A",Kamba - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A",false,Value Proposition,"#N/A"
010b4af2-d74d-4574-adc8-042d88711340,"#N/A",11550.0,2024-03-17,"#N/A","#N/A",Pipeline,"#N/A",Ooba - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
010edcca-9858-4100-aa29-4c4d5bb051e5,"#N/A",72395.0,2023-10-03,"#N/A","#N/A",Omitted,"#N/A",Voonix - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A",false,Closed Lost,"#N/A"
012bb2fa-67bd-40d0-9089-006074a8d2ed,"#N/A",72395.0,2023-10-03,"#N/A","#N/A",Omitted,"#N/A",Feedbug - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A",false,Closed Lost,"#N/A"
0135d2a9-9d54-4a84-9942-1d439a593763,"#N/A",69095.0,2024-05-02,"#N/A","#N/A",Pipeline,"#N/A",Blognation - SOW 1,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
013984b8-fe41-4860-918b-9dfba8cbb8b6,f14cef52-4630-4ac2-85f1-87da336da157,34995.0,2024-02-25,"#N/A","#N/A",Pipeline,"#N/A",Yodel - Additional Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Qualification,"#N/A"
015e2d3b-8294-487a-8f9e-152ac81784df,"#N/A",11550.0,2024-04-16,"#N/A","#N/A",Pipeline,"#N/A",Kimia - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
016bc499-af64-4969-b48a-6af1a33bb516,"#N/A",75000.0,2024-06-21,"#N/A","#N/A",Pipeline,"#N/A",Jazzy - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Qualification,"#N/A"
0178376c-0413-4ad8-a57d-ea5a5e33ee7a,f6ecb17a-270f-450e-bc69-f3647e3b0e2c,32395.00000002,2024-04-02,"#N/A","#N/A",Closed,"#N/A",Wikizz - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
01935bf2-ff73-40ae-940d-79acf96f1e13,49653fb5-154c-4d45-a89f-0d519526158a,72395.0,2024-04-23,"#N/A","#N/A",Pipeline,"#N/A",Trunyx - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A"
01c576bf-48fe-4c22-b45b-8e3456ad1df9,"#N/A",43495.0,2024-06-17,"#N/A","#N/A",Pipeline,"#N/A",Shufflester - SOW 2,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
01deb746-c171-452c-a42a-e70c6077d944,"#N/A",32395.00000002,2024-04-15,"#N/A","#N/A",Closed,"#N/A",Twinder - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
01f147cd-dc19-4287-9a84-90ca6f52a446,"#N/A",32395.00000002,2024-04-02,"#N/A","#N/A",Closed,"#N/A",Myworks - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
01f9aec2-fb41-4c27-bfb8-49a64c64e9d6,"#N/A",11250.0,2024-05-01,"#N/A","#N/A",Pipeline,"#N/A",Skaboo - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
01fdd8fc-1582-4359-9322-7d6f71f5f100,"#N/A",31495.0,2024-01-18,"#N/A","#N/A",Pipeline,"#N/A",Noba - Additional Sale,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
0218faf5-f58a-4e85-a303-4651b5ca3515,5eb47423-6885-4372-8518-6da514b5c6ba,11550.0,2024-05-01,"#N/A","#N/A",Pipeline,"#N/A",Trudoo - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
0222423a-71e1-4186-a922-ab119747b9f3,"#N/A",32395.00000002,2024-04-15,"#N/A","#N/A",Closed,"#N/A",Photolist - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
0250fb83-85f1-4092-a066-51dcdd3b923e,"#N/A",75000.0,2024-06-21,"#N/A","#N/A",Pipeline,"#N/A",Zoovu - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Qualification,"#N/A"
025de71b-704f-44f2-a075-a04eebf12221,"#N/A",18050.0,2024-05-01,"#N/A","#N/A",Pipeline,"#N/A",Tazzy - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
026076bb-4595-42a5-b17e-2107ddd234b6,4c908501-f9d5-44fe-b362-511600f903f1,25400.0,2024-04-17,"#N/A","#N/A",Pipeline,"#N/A",Tazz - SOW 1,"#N/A",20.0,false,false,"#N/A",false,"#N/A",false,Needs Analysis,"#N/A"
026934d7-33f3-45b6-97c6-5212c0c130d8,d87aa3ca-94d0-4935-959e-80919dd8e886,34995.0,2024-02-03,"#N/A","#N/A",Pipeline,"#N/A",Tagtune - Additional Sale,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
0283e4fe-8341-42c1-8ce2-ca8e80de032b,0d95e68a-9453-406f-89cb-490d1d05c35b,18350.0,2024-05-01,"#N/A","#N/A",Pipeline,"#N/A",Centimia - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
02946e13-bb08-424e-a874-ce2d5c6434b4,ee6c746f-dc05-406a-97d5-3e43b63b09c2,34350.0,2024-05-01,"#N/A","#N/A",Pipeline,"#N/A",Realfire - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A",false,Proposal/Price Quote,"#N/A"
02ca8fd2-5942-4026-8279-6d77b044ea61,"#N/A",34995.0,2024-04-25,"#N/A","#N/A",Pipeline,"#N/A",Topdrive - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A",false,Value Proposition,"#N/A"
02eb1f8a-fe54-4fc7-9669-c13ddb9d9402,caecaebe-1058-4c8b-b4fb-080bbd06487a,32395.00000002,2024-02-16,"#N/A","#N/A",Closed,"#N/A",Agimba - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,"#N/A"
030ec2d1-c09d-48d1-83aa-c28a54e3ea01,"#N/A",34995.0,2024-01-28,"#N/A","#N/A",Pipeline,"#N/A",Topdrive - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A",false,Value Proposition,"#N/A"
